# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   1.493393E+04   3.002072E+19   4.534569E+19
   1.528214E+04   3.114874E+19   4.705416E+19
   1.563846E+04   3.232001E+19   4.882841E+19
   1.600310E+04   3.353624E+19   5.067102E+19
   1.637624E+04   3.479914E+19   5.258461E+19
   1.675807E+04   3.611051E+19   5.457194E+19
   1.714881E+04   3.747223E+19   5.663587E+19
   1.754867E+04   3.888626E+19   5.877936E+19
   1.795785E+04   4.035464E+19   6.100557E+19
   1.837657E+04   4.187936E+19   6.331756E+19
   1.880505E+04   4.346263E+19   6.571873E+19
   1.924352E+04   4.510668E+19   6.821253E+19
   1.969221E+04   4.681387E+19   7.080254E+19
   2.015136E+04   4.858666E+19   7.349250E+19
   2.062122E+04   5.042754E+19   7.628628E+19
   2.110204E+04   5.233916E+19   7.918789E+19
   2.159407E+04   5.432425E+19   8.220152E+19
   2.209757E+04   5.638564E+19   8.533151E+19
   2.261281E+04   5.852627E+19   8.858235E+19
   2.314006E+04   6.074916E+19   9.195874E+19
   2.367960E+04   6.305745E+19   9.546552E+19
   2.423173E+04   6.545443E+19   9.910777E+19
   2.479673E+04   6.794350E+19   1.028907E+20
   2.537491E+04   7.052825E+19   1.068198E+20
   2.596656E+04   7.321234E+19   1.109007E+20
   2.657201E+04   7.599958E+19   1.151393E+20
   2.719158E+04   7.889397E+19   1.195417E+20
   2.782560E+04   8.189964E+19   1.241142E+20
   2.847439E+04   8.502085E+19   1.288634E+20
   2.913832E+04   8.826202E+19   1.337962E+20
   2.981772E+04   9.162771E+19   1.389196E+20
   3.051297E+04   9.512270E+19   1.442411E+20
   3.122443E+04   9.875196E+19   1.497683E+20
   3.195247E+04   1.025207E+20   1.555092E+20
   3.269750E+04   1.064343E+20   1.614721E+20
   3.345989E+04   1.104982E+20   1.676654E+20
   3.424006E+04   1.147183E+20   1.740982E+20
   3.503842E+04   1.191005E+20   1.807797E+20
   3.585540E+04   1.236512E+20   1.877196E+20
   3.669142E+04   1.283766E+20   1.949278E+20
   3.754694E+04   1.332835E+20   2.024147E+20
   3.842240E+04   1.383788E+20   2.101911E+20
   3.931828E+04   1.436697E+20   2.182682E+20
   4.023505E+04   1.491638E+20   2.266576E+20
   4.117319E+04   1.548688E+20   2.353713E+20
   4.213321E+04   1.607929E+20   2.444220E+20
   4.311561E+04   1.669444E+20   2.538227E+20
   4.412092E+04   1.733321E+20   2.635868E+20
   4.514967E+04   1.799649E+20   2.737285E+20
   4.620240E+04   1.868523E+20   2.842623E+20
   4.727968E+04   1.940039E+20   2.952034E+20
   4.838208E+04   2.014297E+20   3.065675E+20
   4.951019E+04   2.091403E+20   3.183709E+20
   5.066460E+04   2.171467E+20   3.306306E+20
   5.184592E+04   2.254601E+20   3.433643E+20
   5.305479E+04   2.340921E+20   3.565903E+20
   5.429184E+04   2.430552E+20   3.703274E+20
   5.555774E+04   2.523619E+20   3.845956E+20
   5.685320E+04   2.620255E+20   3.994157E+20
   5.817882E+04   2.720591E+20   4.148082E+20
   5.953535E+04   2.824770E+20   4.307955E+20
   6.092351E+04   2.932938E+20   4.474007E+20
